;Latitude;Longitude;Weight
891;40.58290823700002;-73.96124964099994;2
900;40.59657994500003;-73.90794166099994;2
902;40.677949263000066;-73.90464589699997;2
908;40.68833393200004;-73.96481222899995;2
910;40.656923240000026;-73.93964677899999;2
911;40.62529714400005;-73.99724198999998;2
916;40.57505090600006;-73.99908711199998;2
918;40.67141166300007;-73.88151172399995;2
919;40.691227472000044;-73.939680637;5
921;40.64254948100006;-74.01816952099993;2
922;40.66744666500005;-73.87237725799997;5
924;40.66416202000005;-73.94681681999998;2
926;40.67141166300007;-73.88151172399995;5
928;40.68446154300005;-73.97775120999995;2
934;40.63042484400006;-73.92958680099997;2
935;40.68112594000007;-73.97436682299997;5
936;40.63424665600007;-73.92269762499996;2
937;40.60471433700008;-73.97662176399997;2
940;40.68962245400007;-73.96014913199997;5
948;40.69514090800004;-73.975125947;5
949;40.676337363000066;-73.86546353999995;2
950;40.67690313600008;-73.98171945599995;5
953;40.64870676900005;-73.90513094099998;2
956;40.579983267000046;-73.97463603499993;1
958;40.64870676900005;-73.90513094099998;5
964;40.62851560000007;-73.94138369799998;2
965;40.69438807200004;-73.98719600899994;2
967;40.70078440000003;-73.91333013999997;2
968;40.67111083400005;-73.91356336299998;5
970;40.66331040000005;-73.88553428699998;5
977;40.68377856600006;-73.92624217899998;5
980;40.696708844000064;-73.91030255899994;2
981;40.68326306500006;-73.98363586399995;5
983;40.635528540000045;-74.01669399499998;2
985;40.64630132600007;-74.01983898699996;5
989;40.68962245400007;-73.96014913199997;2
991;40.62587161400006;-73.93488360099997;5
992;40.669874185000026;-73.88112152899998;2
994;40.66848787600002;-73.90122769999994;2
995;40.683700646000034;-74.00050622499998;2
1002;40.61662402600007;-73.97674005999993;2
1006;40.683700646000034;-74.00050622499998;2
1008;40.698078486000036;-73.94531476999998;5
1009;40.690106415000045;-73.98897094299997;2
1022;40.59602728300007;-73.93960459599998;2
1025;40.66740204800004;-73.93820983899997;5
1028;40.67141166300007;-73.88151172399995;2
1030;40.68039860900007;-73.94955839299999;5
